date,bulletin_no,currency_code,currency_unit,forex_buying,forex_selling
2026-04-17,2026/74,EUR,1,52.6945,52.7894
2026-04-17,2026/74,GBP,1,60.3502,60.6648
2026-04-17,2026/74,JPY,100,28.0095,28.1950
2026-04-17,2026/74,KRW,1,0.03000,0.03040
2026-04-17,2026/74,KWD,1,145.1613,147.0608
2026-04-17,2026/74,KZT,1,0.09470,0.09594
2026-04-17,2026/74,NOK,1,4.7673,4.7993
2026-04-17,2026/74,PKR,1,0.15941,0.16150
2026-04-17,2026/74,QAR,1,12.1910,12.3505
2026-04-17,2026/74,RON,1,10.2766,10.4110
2026-04-17,2026/74,RUB,1,0.58279,0.59042
2026-04-17,2026/74,SAR,1,11.9157,11.9372
2026-04-17,2026/74,SEK,1,4.8510,4.9012
2026-04-17,2026/74,USD,1,44.6989,44.7795
2026-04-20,2026/75,AED,1,12.1271,12.2858
2026-04-20,2026/75,AUD,1,31.9752,32.1838
2026-04-20,2026/75,AZN,1,26.2025,26.5453
2026-04-20,2026/75,CAD,1,32.6702,32.8175
2026-04-20,2026/75,CHF,1,57.1754,57.5425
2026-04-20,2026/75,CNY,1,6.5328,6.6183
2026-04-20,2026/75,DKK,1,7.0408,7.0754
2026-04-20,2026/75,EUR,1,52.7012,52.7962
2026-04-20,2026/75,GBP,1,60.4161,60.7311
2026-04-20,2026/75,JPY,100,28.1200,28.3062
2026-04-20,2026/75,KRW,1,0.03025,0.03065
2026-04-20,2026/75,KWD,1,145.4029,147.3055
2026-04-20,2026/75,KZT,1,0.09505,0.09629
2026-04-20,2026/75,NOK,1,4.7824,4.8146
2026-04-20,2026/75,PKR,1,0.15976,0.16185
2026-04-20,2026/75,QAR,1,12.2201,12.3800
2026-04-20,2026/75,RON,1,10.2775,10.4120
2026-04-20,2026/75,RUB,1,0.58972,0.59743
2026-04-20,2026/75,SAR,1,11.9422,11.9637
2026-04-20,2026/75,SEK,1,4.8683,4.9188
2026-04-20,2026/75,USD,1,44.7952,44.8760
2026-04-21,2026/76,AED,1,12.1311,12.2898
2026-04-21,2026/76,AUD,1,31.9985,32.2072
2026-04-21,2026/76,AZN,1,26.2111,26.5541
2026-04-21,2026/76,CAD,1,32.7689,32.9167
2026-04-21,2026/76,CHF,1,57.3442,57.7123
2026-04-21,2026/76,CNY,1,6.5376,6.6232
2026-04-21,2026/76,DKK,1,7.0436,7.0782
2026-04-21,2026/76,EUR,1,52.7209,52.8159
2026-04-21,2026/76,GBP,1,60.4384,60.7535
2026-04-21,2026/76,JPY,100,28.1013,28.2874
2026-04-21,2026/76,KRW,1,0.03032,0.03071
2026-04-21,2026/76,KWD,1,145.4511,147.3543
2026-04-21,2026/76,KZT,1,0.09596,0.09722
2026-04-21,2026/76,NOK,1,4.7923,4.8245
2026-04-21,2026/76,PKR,1,0.15979,0.16188
2026-04-21,2026/76,QAR,1,12.2230,12.3829
2026-04-21,2026/76,RON,1,10.2821,10.4166
2026-04-21,2026/76,RUB,1,0.59503,0.60282
2026-04-21,2026/76,SAR,1,11.9470,11.9685
2026-04-21,2026/76,SEK,1,4.8786,4.9291
2026-04-21,2026/76,USD,1,44.8101,44.8908
2026-04-22,2026/77,AED,1,12.1318,12.2906
2026-04-22,2026/77,AUD,1,32.0249,32.2338
2026-04-22,2026/77,AZN,1,26.2129,26.5559
2026-04-22,2026/77,CAD,1,32.7752,32.9230
2026-04-22,2026/77,CHF,1,57.2740,57.6417
2026-04-22,2026/77,CNY,1,6.5312,6.6166
2026-04-22,2026/77,DKK,1,7.0340,7.0686
2026-04-22,2026/77,EUR,1,52.6499,52.7447
2026-04-22,2026/77,GBP,1,60.4824,60.7978
2026-04-22,2026/77,JPY,100,28.0714,28.2572
2026-04-22,2026/77,KRW,1,0.03016,0.03056
2026-04-22,2026/77,KWD,1,145.4136,147.3163
2026-04-22,2026/77,KZT,1,0.09641,0.09767
2026-04-22,2026/77,NOK,1,4.8132,4.8456
2026-04-22,2026/77,PKR,1,0.15985,0.16194
2026-04-22,2026/77,QAR,1,12.2244,12.3843
2026-04-22,2026/77,RON,1,10.2757,10.4101
2026-04-22,2026/77,RUB,1,0.59322,0.60099
2026-04-22,2026/77,SAR,1,11.9486,11.9701
2026-04-22,2026/77,SEK,1,4.8698,4.9203
2026-04-22,2026/77,USD,1,44.8132,44.8939
2026-04-24,2026/78,AED,1,12.1429,12.3018
2026-04-24,2026/78,AUD,1,31.9203,32.1285
2026-04-24,2026/78,AZN,1,26.2369,26.5802
2026-04-24,2026/78,CAD,1,32.7167,32.8642
2026-04-24,2026/78,CHF,1,56.9060,57.2713
2026-04-24,2026/78,CNY,1,6.5249,6.6103
2026-04-24,2026/78,DKK,1,7.0079,7.0423
2026-04-24,2026/78,EUR,1,52.4524,52.5469
2026-04-24,2026/78,GBP,1,60.3668,60.6815
2026-04-24,2026/78,JPY,100,28.0273,28.2129
2026-04-24,2026/78,KRW,1,0.03009,0.03048
2026-04-24,2026/78,KWD,1,145.4752,147.3788
2026-04-24,2026/78,KZT,1,0.09597,0.09723
2026-04-24,2026/78,NOK,1,4.7868,4.8190
2026-04-24,2026/78,PKR,1,0.15997,0.16207
